Broker      Stock       Value       Changes     
Broker 4    Technology  209         21          
Broker 2    Banking     134         21          
Broker 3    Banking     134         21          
Broker 4    Banking     134         21          
Broker 1    Retail      51          21          
Broker 4    Retail      51          21          
Broker 2    Commodity   658         22          
Broker 4    Commodity   658         22          
Broker 1    Technology  210         22          
Broker 2    Technology  210         22          
Broker 3    Technology  210         22          
Broker 4    Technology  210         22          
Broker 2    Banking     136         22          
Broker 3    Banking     136         22          
Broker 4    Banking     136         22          
Broker 1    Retail      52          22          
Broker 4    Retail      52          22          
Broker 2    Commodity   669         23          
Broker 4    Commodity   669         23          
Broker 1    Technology  211         23          
Broker 2    Technology  211         23          
Broker 3    Technology  211         23          
Broker 4    Technology  211         23          
Broker 2    Banking     139         23          
Broker 3    Banking     139         23          
Broker 4    Banking     139         23          
Broker 1    Retail      53          23          
Broker 4    Retail      53          23          
Broker 2    Commodity   684         24          
Broker 4    Commodity   684         24          
Broker 1    Technology  213         24          
Broker 2    Technology  213         24          
Broker 3    Technology  213         24          
Broker 4    Technology  213         24          
Broker 1    Retail      54          24          
Broker 4    Retail      54          24          
Broker 2    Banking     141         24          
Broker 3    Banking     141         24          
Broker 4    Banking     141         24          
Broker 2    Commodity   692         25          
Broker 4    Commodity   692         25          
Broker 1    Technology  214         25          
Broker 2    Technology  214         25          
Broker 3    Technology  214         25          
Broker 4    Technology  214         25          
Broker 1    Retail      55          25          
Broker 4    Retail      55          25          
Broker 2    Banking     144         25          
Broker 3    Banking     144         25          
Broker 4    Banking     144         25          
Broker 2    Commodity   696         26          
Broker 4    Commodity   696         26          
Broker 1    Technology  217         26          
Broker 2    Technology  217         26          
Broker 3    Technology  217         26          
Broker 4    Technology  217         26          
Broker 1    Retail      56          26          
Broker 4    Retail      56          26          
Broker 2    Banking     146         26          
Broker 3    Banking     146         26          
Broker 4    Banking     146         26          
Broker 2    Commodity   705         27          
Broker 4    Commodity   705         27          
Broker 1    Technology  218         27          
Broker 2    Technology  218         27          
Broker 3    Technology  218         27          
Broker 4    Technology  218         27          
Broker 1    Retail      57          27          
Broker 4    Retail      57          27          
Broker 2    Banking     148         27          
Broker 3    Banking     148         27          
Broker 4    Banking     148         27          
Broker 2    Commodity   710         28          
Broker 4    Commodity   710         28          
Broker 1    Technology  220         28          
Broker 2    Technology  220         28          
Broker 3    Technology  220         28          
Broker 4    Technology  220         28          
Broker 2    Banking     151         28          
Broker 3    Banking     151         28          
Broker 4    Banking     151         28          
Broker 1    Retail      58          28          
Broker 4    Retail      58          28          
Broker 2    Commodity   723         29          
Broker 4    Commodity   723         29          
Broker 1    Technology  222         29          
Broker 2    Technology  222         29          
Broker 3    Technology  222         29          
Broker 4    Technology  222         29          
Broker 2    Banking     153         29          
Broker 3    Banking     153         29          
Broker 4    Banking     153         29          
Broker 1    Retail      59          29          
Broker 4    Retail      59          29          
Broker 2    Commodity   733         30          
Broker 4    Commodity   733         30          
Broker 1    Technology  224         30          
Broker 1    Retail      60          30          
Broker 4    Retail      60          30          
Broker 2    Technology  224         30          
Broker 3    Technology  224         30          
Broker 4    Technology  224         30          
Broker 2    Banking     156         30          
Broker 3    Banking     156         30          
Broker 4    Banking     156         30          
Broker 2    Commodity   734         31          
Broker 4    Commodity   734         31          
Broker 1    Retail      61          31          
Broker 4    Retail      61          31          
Broker 1    Technology  228         31          
Broker 2    Technology  228         31          
Broker 3    Technology  228         31          
Broker 4    Technology  228         31          
Broker 2    Banking     159         31          
Broker 3    Banking     159         31          
Broker 4    Banking     159         31          
Broker 2    Commodity   744         32          
Broker 4    Commodity   744         32          
Broker 1    Retail      62          32          
Broker 4    Retail      62          32          
Broker 1    Technology  230         32          
Broker 2    Technology  230         32          
Broker 3    Technology  230         32          
Broker 4    Technology  230         32          
Broker 2    Banking     160         32          
Broker 3    Banking     160         32          
Broker 4    Banking     160         32          
Broker 2    Commodity   761         33          
Broker 4    Commodity   761         33          
Broker 1    Retail      63          33          
Broker 4    Retail      63          33          
Broker 1    Technology  231         33          
Broker 2    Technology  231         33          
Broker 3    Technology  231         33          
Broker 4    Technology  231         33          
Broker 2    Banking     161         33          
Broker 3    Banking     161         33          
Broker 4    Banking     161         33          
Broker 2    Commodity   767         34          
Broker 1    Retail      64          34          
Broker 4    Retail      64          34          
Broker 1    Technology  234         34          
Broker 2    Technology  234         34          
Broker 3    Technology  234         34          
Broker 4    Technology  234         34          
Broker 2    Banking     163         34          
Broker 3    Banking     163         34          
Broker 4    Banking     163         34          
Broker 4    Commodity   767         34          
Broker 1    Retail      65          35          
Broker 4    Retail      65          35          
Broker 1    Technology  236         35          
Broker 2    Technology  236         35          
Broker 3    Technology  236         35          
Broker 4    Technology  236         35          
Broker 2    Banking     164         35          
Broker 3    Banking     164         35          
Broker 4    Banking     164         35          
Broker 2    Commodity   770         35          
Broker 4    Commodity   770         35          
Broker 1    Retail      66          36          
Broker 4    Retail      66          36          
Broker 1    Technology  239         36          
Broker 2    Technology  239         36          
Broker 3    Technology  239         36          
Broker 4    Technology  239         36          
Broker 2    Banking     167         36          
Broker 3    Banking     167         36          
Broker 4    Banking     167         36          
Broker 2    Commodity   789         36          
Broker 4    Commodity   789         36          
Broker 1    Retail      67          37          
Broker 4    Retail      67          37          
Broker 1    Technology  240         37          
Broker 2    Technology  240         37          
Broker 3    Technology  240         37          
Broker 4    Technology  240         37          
Broker 2    Banking     170         37          
Broker 3    Banking     170         37          
Broker 4    Banking     170         37          
Broker 2    Commodity   803         37          
Broker 4    Commodity   803         37          
Broker 1    Retail      68          38          
Broker 4    Retail      68          38          
Broker 1    Technology  244         38          
Broker 2    Technology  244         38          
Broker 3    Technology  244         38          
Broker 4    Technology  244         38          
Broker 2    Banking     171         38          
Broker 3    Banking     171         38          
Broker 4    Banking     171         38          
Broker 2    Commodity   811         38          
Broker 4    Commodity   811         38          
Broker 1    Technology  248         39          
Broker 2    Technology  248         39          
Broker 3    Technology  248         39          
Broker 4    Technology  248         39          
Broker 2    Commodity   825         39          
Broker 4    Commodity   825         39          
Broker 1    Retail      69          39          
Broker 4    Retail      69          39          
Broker 2    Banking     173         39          
Broker 3    Banking     173         39          
Broker 4    Banking     173         39          
Broker 1    Technology  252         40          
Broker 2    Technology  252         40          
Broker 3    Technology  252         40          
Broker 4    Technology  252         40          
Broker 2    Banking     176         40          
Broker 3    Banking     176         40          
Broker 4    Banking     176         40          
Broker 2    Commodity   838         40          
Broker 4    Commodity   838         40          
Broker 1    Retail      70          40          
Broker 4    Retail      70          40          
Broker 1    Technology  255         41          
Broker 2    Banking     177         41          
Broker 3    Banking     177         41          
Broker 4    Banking     177         41          
Broker 1    Retail      71          41          
Broker 4    Retail      71          41          
Broker 2    Technology  255         41          
Broker 3    Technology  255         41          
Broker 4    Technology  255         41          
Broker 2    Commodity   849         41          
Broker 4    Commodity   849         41          
Broker 1    Retail      72          42          
Broker 4    Retail      72          42          
Broker 1    Technology  256         42          
Broker 2    Technology  256         42          
Broker 3    Technology  256         42          
Broker 4    Technology  256         42          
Broker 2    Banking     178         42          
Broker 3    Banking     178         42          
Broker 4    Banking     178         42          
Broker 2    Commodity   866         42          
Broker 4    Commodity   866         42          
Broker 1    Retail      73          43          
Broker 4    Retail      73          43          
Broker 2    Commodity   871         43          
Broker 4    Commodity   871         43          
Broker 1    Technology  257         43          
Broker 2    Technology  257         43          
Broker 3    Technology  257         43          
Broker 4    Technology  257         43          
Broker 2    Banking     179         43          
Broker 3    Banking     179         43          
Broker 4    Banking     179         43          
Broker 1    Retail      74          44          
Broker 4    Retail      74          44          
Broker 2    Commodity   872         44          
Broker 4    Commodity   872         44          
Broker 1    Technology  258         44          
Broker 2    Technology  258         44          
Broker 3    Technology  258         44          
Broker 4    Technology  258         44          
Broker 2    Banking     181         44          
Broker 3    Banking     181         44          
Broker 4    Banking     181         44          
Broker 1    Retail      75          45          
Broker 4    Retail      75          45          
Broker 2    Commodity   874         45          
Broker 4    Commodity   874         45          
Broker 1    Technology  259         45          
Broker 2    Technology  259         45          
Broker 3    Technology  259         45          
Broker 4    Technology  259         45          
Broker 2    Banking     184         45          
Broker 3    Banking     184         45          
Broker 4    Banking     184         45          
Broker 2    Commodity   886         46          
Broker 4    Commodity   886         46          
Broker 1    Retail      76          46          
Broker 4    Retail      76          46          
Broker 1    Technology  260         46          
Broker 2    Technology  260         46          
Broker 3    Technology  260         46          
Broker 4    Technology  260         46          
Broker 2    Banking     185         46          
Broker 3    Banking     185         46          
Broker 4    Banking     185         46          
Broker 2    Commodity   895         47          
Broker 4    Commodity   895         47          
Broker 1    Retail      77          47          
Broker 4    Retail      77          47          
Broker 1    Technology  261         47          
Broker 2    Technology  261         47          
Broker 3    Technology  261         47          
Broker 4    Technology  261         47          
Broker 2    Banking     187         47          
Broker 3    Banking     187         47          
Broker 4    Banking     187         47          
Broker 2    Commodity   908         48          
Broker 4    Commodity   908         48          
Broker 1    Retail      78          48          
Broker 4    Retail      78          48          
Broker 2    Banking     188         48          
Broker 3    Banking     188         48          
Broker 1    Technology  264         48          
Broker 2    Technology  264         48          
Broker 3    Technology  264         48          
Broker 4    Technology  264         48          
Broker 4    Banking     188         48          
Broker 2    Commodity   922         49          
Broker 4    Commodity   922         49          
Broker 1    Retail      79          49          
Broker 4    Retail      79          49          
Broker 1    Technology  265         49          
Broker 2    Technology  265         49          
Broker 3    Technology  265         49          
Broker 4    Technology  265         49          
Broker 2    Banking     190         49          
Broker 3    Banking     190         49          
Broker 4    Banking     190         49          
Broker 2    Commodity   927         50          
Broker 4    Commodity   927         50          
Broker 1    Retail      80          50          
Broker 4    Retail      80          50          
Broker 2    Banking     193         50          
Broker 3    Banking     193         50          
Broker 4    Banking     193         50          
Broker 1    Technology  266         50          
Broker 2    Technology  266         50          
Broker 3    Technology  266         50          
Broker 4    Technology  266         50          
Broker 2    Commodity   937         51          
Broker 4    Commodity   937         51          
Broker 1    Retail      81          51          
Broker 4    Retail      81          51          
Broker 2    Banking     196         51          
Broker 3    Banking     196         51          
Broker 4    Banking     196         51          
Broker 1    Technology  270         51          
Broker 2    Technology  270         51          
Broker 3    Technology  270         51          
Broker 4    Technology  270         51          
Broker 2    Commodity   947         52          
Broker 2    Banking     197         52          
Broker 3    Banking     197         52          
Broker 4    Banking     197         52          
Broker 1    Technology  272         52          
Broker 2    Technology  272         52          
Broker 3    Technology  272         52          
Broker 4    Technology  272         52          
Broker 1    Retail      82          52          
Broker 4    Retail      82          52          
Broker 4    Commodity   947         52          
Broker 2    Banking     199         53          
Broker 3    Banking     199         53          
Broker 4    Banking     199         53          
Broker 1    Retail      83          53          
Broker 4    Retail      83          53          
Broker 1    Technology  275         53          
Broker 2    Technology  275         53          
Broker 3    Technology  275         53          
Broker 4    Technology  275         53          
Broker 2    Commodity   957         53          
Broker 4    Commodity   957         53          
Broker 2    Banking     200         54          
Broker 3    Banking     200         54          
Broker 4    Banking     200         54          
Broker 1    Technology  277         54          
Broker 2    Technology  277         54          
Broker 3    Technology  277         54          
Broker 4    Technology  277         54          
Broker 2    Commodity   970         54          
Broker 4    Commodity   970         54          
Broker 1    Retail      84          54          
Broker 4    Retail      84          54          
Broker 2    Banking     203         55          
Broker 3    Banking     203         55          
Broker 4    Banking     203         55          
Broker 2    Commodity   976         55          
Broker 4    Commodity   976         55          
Broker 1    Retail      85          55          
Broker 4    Retail      85          55          
Broker 1    Technology  278         55          
Broker 2    Technology  278         55          
Broker 3    Technology  278         55          
Broker 4    Technology  278         55          
Broker 2    Banking     204         56          
Broker 3    Banking     204         56          
Broker 4    Banking     204         56          
Broker 1    Technology  282         56          
Broker 2    Technology  282         56          
Broker 3    Technology  282         56          
Broker 4    Technology  282         56          
Broker 2    Commodity   986         56          
Broker 4    Commodity   986         56          
Broker 1    Retail      86          56          
Broker 4    Retail      86          56          
Broker 2    Banking     206         57          
Broker 3    Banking     206         57          
Broker 4    Banking     206         57          
Broker 2    Commodity   1001        57          
Broker 4    Commodity   1001        57          
Broker 1    Retail      87          57          
Broker 4    Retail      87          57          
Broker 1    Technology  286         57          
Broker 2    Technology  286         57          
Broker 3    Technology  286         57          
Broker 4    Technology  286         57          
Broker 2    Banking     208         58          
Broker 3    Banking     208         58          
Broker 4    Banking     208         58          
Broker 2    Commodity   1004        58          
Broker 4    Commodity   1004        58          
Broker 1    Technology  289         58          
Broker 2    Technology  289         58          
Broker 3    Technology  289         58          
Broker 4    Technology  289         58          
Broker 1    Retail      88          58          
Broker 4    Retail      88          58          
Broker 2    Banking     211         59          
Broker 3    Banking     211         59          
Broker 4    Banking     211         59          
Broker 1    Retail      89          59          
Broker 4    Retail      89          59          
Broker 1    Technology  291         59          
Broker 2    Technology  291         59          
Broker 3    Technology  291         59          
Broker 4    Technology  291         59          
Broker 2    Commodity   1014        59          
Broker 4    Commodity   1014        59          
Broker 2    Banking     214         60          
Broker 3    Banking     214         60          
Broker 4    Banking     214         60          
Broker 1    Technology  295         60          
Broker 2    Technology  295         60          
Broker 3    Technology  295         60          
Broker 4    Technology  295         60          
Broker 2    Commodity   1016        60          
Broker 4    Commodity   1016        60          
Broker 1    Retail      90          60          
Broker 4    Retail      90          60          
Broker 2    Banking     217         61          
Broker 3    Banking     217         61          
Broker 4    Banking     217         61          
Broker 2    Commodity   1024        61          
Broker 4    Commodity   1024        61          
Broker 1    Retail      91          61          
Broker 4    Retail      91          61          
Broker 1    Technology  297         61          
Broker 2    Technology  297         61          
Broker 3    Technology  297         61          
Broker 4    Technology  297         61          
Broker 2    Banking     219         62          
Broker 3    Banking     219         62          
Broker 4    Banking     219         62          
Broker 2    Commodity   1028        62          
Broker 4    Commodity   1028        62          
Broker 1    Technology  299         62          
Broker 2    Technology  299         62          
Broker 3    Technology  299         62          
Broker 4    Technology  299         62          
Broker 1    Retail      92          62          
Broker 4    Retail      92          62          
Broker 2    Banking     220         63          
Broker 3    Banking     220         63          
Broker 4    Banking     220         63          
Broker 1    Technology  301         63          
Broker 2    Technology  301         63          
Broker 3    Technology  301         63          
Broker 4    Technology  301         63          
Broker 1    Retail      93          63          
Broker 4    Retail      93          63          
Broker 2    Commodity   1033        63          
Broker 4    Commodity   1033        63          
Broker 2    Banking     223         64          
Broker 3    Banking     223         64          
Broker 4    Banking     223         64          
Broker 1    Retail      94          64          
Broker 4    Retail      94          64          
Broker 2    Commodity   1034        64          
Broker 4    Commodity   1034        64          
Broker 1    Technology  305         64          
Broker 2    Technology  305         64          
Broker 3    Technology  305         64          
Broker 4    Technology  305         64          
Broker 2    Banking     225         65          
Broker 3    Banking     225         65          
Broker 4    Banking     225         65          
Broker 2    Commodity   1041        65          
Broker 4    Commodity   1041        65          
Broker 1    Technology  309         65          
Broker 2    Technology  309         65          
Broker 3    Technology  309         65          
Broker 4    Technology  309         65          
Broker 1    Retail      95          65          
Broker 4    Retail      95          65          
Broker 2    Commodity   1046        66          
Broker 4    Commodity   1046        66          
Broker 2    Banking     226         66          
Broker 3    Banking     226         66          
Broker 4    Banking     226         66          
Broker 1    Retail      96          66          
Broker 4    Retail      96          66          
Broker 1    Technology  311         66          
Broker 2    Technology  311         66          
Broker 3    Technology  311         66          
Broker 4    Technology  311         66          
Broker 2    Commodity   1065        67          
Broker 4    Commodity   1065        67          
Broker 2    Banking     228         67          
Broker 3    Banking     228         67          
Broker 4    Banking     228         67          
Broker 1    Retail      97          67          
Broker 4    Retail      97          67          
Broker 1    Technology  313         67          
Broker 2    Technology  313         67          
Broker 3    Technology  313         67          
Broker 4    Technology  313         67          
Broker 2    Commodity   1074        68          
Broker 4    Commodity   1074        68          
Broker 2    Banking     229         68          
Broker 3    Banking     229         68          
Broker 4    Banking     229         68          
Broker 1    Technology  314         68          
Broker 2    Technology  314         68          
Broker 3    Technology  314         68          
Broker 4    Technology  314         68          
Broker 1    Retail      98          68          
Broker 4    Retail      98          68          
Broker 2    Commodity   1080        69          
Broker 4    Commodity   1080        69          
Broker 2    Banking     232         69          
Broker 3    Banking     232         69          
Broker 4    Banking     232         69          
Broker 1    Retail      99          69          
Broker 4    Retail      99          69          
Broker 1    Technology  317         69          
Broker 2    Technology  317         69          
Broker 3    Technology  317         69          
Broker 4    Technology  317         69          
Broker 2    Commodity   1098        70          
Broker 4    Commodity   1098        70          
Broker 2    Banking     235         70          
Broker 3    Banking     235         70          
Broker 4    Banking     235         70          
Broker 1    Technology  318         70          
Broker 2    Technology  318         70          
Broker 3    Technology  318         70          
Broker 4    Technology  318         70          
Broker 1    Retail      100         70          
Broker 4    Retail      100         70          
Broker 2    Commodity   1103        71          
Broker 4    Commodity   1103        71          
Broker 2    Banking     238         71          
Broker 3    Banking     238         71          
Broker 4    Banking     238         71          
Broker 1    Retail      101         71          
Broker 4    Retail      101         71          
Broker 1    Technology  320         71          
Broker 2    Technology  320         71          
Broker 3    Technology  320         71          
Broker 4    Technology  320         71          
Broker 2    Commodity   1118        72          
Broker 4    Commodity   1118        72          
Broker 1    Retail      102         72          
Broker 4    Retail      102         72          
Broker 2    Banking     241         72          
Broker 3    Banking     241         72          
Broker 4    Banking     241         72          
Broker 1    Technology  323         72          
Broker 2    Technology  323         72          
Broker 3    Technology  323         72          
Broker 4    Technology  323         72          
Broker 2    Commodity   1119        73          
Broker 4    Commodity   1119        73          
Broker 1    Retail      103         73          
Broker 4    Retail      103         73          
Broker 2    Banking     243         73          
Broker 3    Banking     243         73          
Broker 4    Banking     243         73          
Broker 1    Technology  324         73          
Broker 2    Technology  324         73          
Broker 3    Technology  324         73          
Broker 4    Technology  324         73          
Broker 2    Commodity   1130        74          
Broker 4    Commodity   1130        74          
Broker 1    Retail      104         74          
Broker 4    Retail      104         74          
Broker 2    Banking     244         74          
Broker 3    Banking     244         74          
Broker 4    Banking     244         74          
Broker 1    Technology  328         74          
Broker 2    Technology  328         74          
Broker 3    Technology  328         74          
Broker 4    Technology  328         74          
Broker 2    Commodity   1141        75          
Broker 4    Commodity   1141        75          
Broker 1    Retail      105         75          
Broker 4    Retail      105         75          
Broker 2    Banking     247         75          
Broker 3    Banking     247         75          
Broker 4    Banking     247         75          
Broker 1    Technology  329         75          
Broker 2    Technology  329         75          
Broker 3    Technology  329         75          
Broker 4    Technology  329         75          
Broker 2    Commodity   1147        76          
Broker 4    Commodity   1147        76          
Broker 2    Banking     249         76          
Broker 3    Banking     249         76          
Broker 4    Banking     249         76          
Broker 1    Retail      106         76          
Broker 4    Retail      106         76          
Broker 1    Technology  330         76          
Broker 2    Technology  330         76          
Broker 3    Technology  330         76          
Broker 4    Technology  330         76          
Broker 2    Commodity   1157        77          
Broker 4    Commodity   1157        77          
Broker 2    Banking     250         77          
Broker 3    Banking     250         77          
Broker 4    Banking     250         77          
Broker 1    Technology  333         77          
Broker 2    Technology  333         77          
Broker 3    Technology  333         77          
Broker 4    Technology  333         77          
Broker 1    Retail      107         77          
Broker 4    Retail      107         77          
Broker 2    Commodity   1162        78          
Broker 4    Commodity   1162        78          
Broker 2    Banking     251         78          
Broker 3    Banking     251         78          
Broker 1    Technology  336         78          
Broker 2    Technology  336         78          
Broker 3    Technology  336         78          
Broker 4    Technology  336         78          
Broker 4    Banking     251         78          
Broker 1    Retail      108         78          
Broker 4    Retail      108         78          
Broker 2    Commodity   1170        79          
Broker 4    Commodity   1170        79          
Broker 1    Technology  340         79          
Broker 2    Technology  340         79          
Broker 3    Technology  340         79          
Broker 4    Technology  340         79          
Broker 2    Banking     252         79          
Broker 3    Banking     252         79          
Broker 4    Banking     252         79          
Broker 1    Retail      109         79          
Broker 4    Retail      109         79          
Broker 2    Commodity   1181        80          
Broker 4    Commodity   1181        80          
Broker 1    Technology  344         80          
Broker 2    Technology  344         80          
Broker 3    Technology  344         80          
Broker 4    Technology  344         80          
Broker 2    Banking     254         80          
Broker 3    Banking     254         80          
Broker 4    Banking     254         80          
Broker 1    Retail      110         80          
Broker 4    Retail      110         80          
Broker 2    Commodity   1190        81          
Broker 4    Commodity   1190        81          
Broker 1    Technology  345         81          
Broker 2    Technology  345         81          
Broker 3    Technology  345         81          
Broker 4    Technology  345         81          
Broker 2    Banking     257         81          
Broker 3    Banking     257         81          
Broker 4    Banking     257         81          
Broker 1    Retail      111         81          
Broker 4    Retail      111         81          
Broker 2    Commodity   1200        82          
Broker 4    Commodity   1200        82          
Broker 1    Technology  346         82          
Broker 2    Technology  346         82          
Broker 3    Technology  346         82          
Broker 4    Technology  346         82          
Broker 2    Banking     260         82          
Broker 3    Banking     260         82          
Broker 4    Banking     260         82          
Broker 1    Retail      112         82          
Broker 4    Retail      112         82          
Broker 2    Commodity   1205        83          
Broker 4    Commodity   1205        83          
Broker 1    Technology  350         83          
Broker 2    Technology  350         83          
Broker 3    Technology  350         83          
Broker 4    Technology  350         83          
Broker 2    Banking     263         83          
Broker 3    Banking     263         83          
Broker 4    Banking     263         83          
Broker 1    Retail      113         83          
Broker 4    Retail      113         83          
Broker 2    Commodity   1208        84          
Broker 4    Commodity   1208        84          
Broker 1    Technology  354         84          
Broker 2    Technology  354         84          
Broker 3    Technology  354         84          
Broker 1    Retail      114         84          
Broker 4    Retail      114         84          
Broker 2    Banking     265         84          
Broker 3    Banking     265         84          
Broker 4    Banking     265         84          
Broker 4    Technology  354         84          
Broker 2    Commodity   1223        85          
Broker 4    Commodity   1223        85          
Broker 1    Retail      115         85          
Broker 4    Retail      115         85          
Broker 2    Banking     268         85          
Broker 3    Banking     268         85          
Broker 4    Banking     268         85          
Broker 1    Technology  355         85          
Broker 2    Technology  355         85          
Broker 3    Technology  355         85          
Broker 4    Technology  355         85          
Broker 2    Commodity   1228        86          
Broker 4    Commodity   1228        86          
Broker 1    Retail      116         86          
Broker 4    Retail      116         86          
Broker 2    Banking     270         86          
Broker 3    Banking     270         86          
Broker 4    Banking     270         86          
Broker 1    Technology  356         86          
Broker 2    Technology  356         86          
Broker 3    Technology  356         86          
Broker 4    Technology  356         86          
Broker 2    Commodity   1242        87          
Broker 1    Retail      117         87          
Broker 4    Retail      117         87          
Broker 4    Commodity   1242        87          
Broker 1    Technology  358         87          
Broker 2    Technology  358         87          
Broker 3    Technology  358         87          
Broker 4    Technology  358         87          
Broker 2    Banking     272         87          
Broker 3    Banking     272         87          
Broker 4    Banking     272         87          
Broker 1    Retail      118         88          
Broker 4    Retail      118         88          
Broker 1    Technology  360         88          
Broker 2    Technology  360         88          
Broker 3    Technology  360         88          
Broker 4    Technology  360         88          
Broker 2    Commodity   1261        88          
Broker 4    Commodity   1261        88          
Broker 2    Banking     274         88          
Broker 3    Banking     274         88          
Broker 4    Banking     274         88          
Broker 1    Retail      119         89          
Broker 4    Retail      119         89          
Broker 1    Technology  361         89          
Broker 2    Technology  361         89          
Broker 3    Technology  361         89          
Broker 4    Technology  361         89          
Broker 2    Commodity   1275        89          
